id,title,genres,averageRating,numVotes,releaseYear
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16594,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16005,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15901,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15780,2017
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15339,1967
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15291,2020
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15249,2007
tt0098825,"House of Cards",Drama,8.5,15240,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,14971,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,14749,2023
tt22185582,Sixer,"Drama, Sport",8.5,14129,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12761,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12058,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11515,1986
tt12369754,Staged,"Comedy, Drama",8.5,10670,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10348,1968
tt11052470,"Move to Heaven",Drama,8.5,10176,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10155,2012
tt1632701,Suits,"Comedy, Drama",8.4,497028,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,495783,2005
tt11198330,"House of the Dragon","Action, Adventure, Drama",8.4,450228,2022
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,378782,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273678,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,272334,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,264143,2024
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,264071,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260783,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,230289,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,213257,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204138,2019
tt0285331,24,"Action, Crime, Drama",8.4,199278,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,196258,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183276,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178541,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,177577,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,176834,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168546,2008
tt8398600,"After Life","Comedy, Drama",8.4,156815,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156582,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,135572,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130684,2013
